Acanthaceae,Acanthaceae,,,キツネノマゴ科,-,"5,6,7,12,13,35,45,46,48,52,53,72,73,77,80,88,97"
Actinidiaceae,Actinidiaceae,,,マタタビ科,-,"2,5,7,10,18,43,47,52,62,63,72,79,81,86,91,95,98,105"
Adoxaceae,Adoxaceae,,,レンプクソウ科,-,"23,44,52,53,62,69,70,73,104,119"
Aizoaceae,Aizoaceae,,,ハマミズナ科,-,"29,85,104"
Alismataceae,Alismataceae,,,オモダカ科,-,"11,35,57,93,108"
Alliaceae,Alliaceae,,,-,-,11
Alseuosmiaceae,Alseuosmiaceae,,,アルセウオスミア科,-,"45,52,91,104"
Amaryllidaceae,Amaryllidaceae,,,ヒガンバナ科,-,"86,94,104,112,116"
Anacardiaceae,Anacardiaceae,,,ウルシ科,-,"2,5,7,10,18,20,21,23,24,27,35,36,37,39,41,43,45,47,49,52,54,60,61,62,63,67,68,69,76,78,79,89,90,92,95,103,104,108,109,119"
Ancistrocladaceae,Ancistrocladaceae,,,ツクバネカズラ科,-,"4,63,70,90,109"
Anisophylleaceae,Anisophylleaceae,,,アニソフィレア科,-,"16,17,19,23,46,48,53,54,59,63,70,89,91,104,109"
Annonaceae,Annonaceae,,,バンレイシ科,-,"4,5,7,13,14,16,22,26,38,47,54,57,58,60,62,67,68,69,70,74,79,80,81,83,84,89,93,95,97,103,108,110,113,114,115,118,119"
Aponogetonaceae,Aponogetonaceae,,,レースソウ科,-,20
Aquifoliaceae,Aquifoliaceae,,,モチノキ科,-,"14,38,43,45,52,68,69,70,100"
Araceae,Araceae,,,サトイモ科,-,"5,11,20,26,27,35,51,55,68,72,75,78,86,93,97,114"
Araliaceae,Araliaceae,,,ウコギ科,-,"1,2,7,24,25,27,30,35,40,47,49,50,51,52,62,68,69,71,72,77,79,86,89,101,104,114,119"
Apiaceae,Apiaceae,,,セリ科,-,"1,25,26,49,50,52,86,104,108"
Araucariaceae,Araucariaceae,,,ナンヨウスギ科,-,"19,24,27,76,86,114,116"
Aristolochiaceae,Aristolochiaceae,,,ウマノスズクサ科,-,"5,12,13,26,53,88,89,95,104,110,116,119"
Arecaceae,Arecaceae,,,ヤシ科,-,"2,4,7,10,11,20,22,50,67,68,72,77,79,80,86,96,114,119"
Asparagaceae,Asparagaceae,,,キジカクシ科,-,"2,5,11,19,24,77,86,91,93,94,106,112"
Asteraceae,Asteraceae,,,キク科,-,"1,5,6,13,20,25,44,50,52,62,68,69,75,78,86,88,93,101,104,108,117"
Atherospermataceae,Atherospermataceae,,,アテロスペルマ科,-,99
Balanophoraceae,Balanophoraceae,,,ツチトリモチ科,-,"8,9,24,78,86,89,104"
Balsaminaceae,Balsaminaceae,,,ツリフネソウ科,-,"3,12,45,52,88,93"
Basellaceae,Basellaceae,,,ツルムラサキ科,-,"5,11,94"
Begoniaceae,Begoniaceae,,,ベゴニア科,-,"43,48,50,51,52,68,88,93,104,109"
Berberidaceae,Berberidaceae,,,メギ科,-,"7,52,61,89,93,94,99"
Bignoniaceae,Bignoniaceae,,,ノウゼンカズラ科,-,"2,4,5,6,23,34,35,39,40,42,44,45,49,50,58,62,69,70,78,79,80,88,91,93,107,109,116"
Bixaceae,Bixaceae,,,ベニノキ科,-,"22,35,63,69,93,95,108,117"
Bonnetiaceae,Bonnetiaceae,,,ヤチモクコク科,-,"18,61,95"
Boraginaceae,Boraginaceae,,,ムラサキ科,-,"1,5,6,10,43,52,58,69,71,72,90,92,102,105,108"
Brassicaceae,Brassicaceae,,,アブラナ科,-,"1,7,52,93"
Bromeliaceae,Bromeliaceae,,,パイナップル科,-,"86,114"
Burmanniaceae,Burmanniaceae,,,ヒナノシャクジョウ科,-,"8,104"
Burseraceae,Burseraceae,,,カンラン科,-,"5,7,20,21,24,27,31,34,37,40,49,52,61,62,69,78,89,100,103,106,109,116"
Butomaceae,Butomaceae,,,ハナイ科,-,"20,115"
Buxaceae,Buxaceae,,,ツゲ科,-,"52,53,54,55,71,89,101,112"
Cactaceae,Cactaceae,,,サボテン科,-,"7,79,95,104,108"
Campanulaceae,Campanulaceae,,,キキョウ科,-,"5,20,52,85,88,104,110"
Cannaceae,Cannaceae,,,カンナ科,-,"88,104,108,112"
Capparaceae,Capparaceae,,,フウチョウボク科,-,"4,7,10,16,35,49,53,62,70,71,80,84,88,90,95,107"
Caprifoliaceae,Caprifoliaceae,,,スイカズラ科,-,"5,6,16,44,52,68,69,70,88,104"
Caricaceae,Caricaceae,,,パパイア科,-,"2,20,47,51"
Carlemanniaceae,Carlemanniaceae,,,カルレマンニア科,-,"52,104"
Caryophyllaceae,Caryophyllaceae,,,ナデシコ科,-,"1,53,91"
Centrolepidaceae,Centrolepidaceae,,,カツマダソウ科,-,1
Ceratophyllaceae,Ceratophyllaceae,,,マツモ科,-,"45,52,108"
Casuarinaceae,Casuarinaceae,,,モクマオウ科,-,"45,86,108,114,116"
Celastraceae,Celastraceae,,,ニシキギ科,-,"5,6,13,14,16,20,23,38,52,61,62,70,71,76,79,84,87,89,91,97,100,103,107,108,109,112,116,117,118"
Chrysobalanaceae,Chrysobalanaceae,,,クリソバラヌス科,-,"18,30,57,63,70,95,103,108,119"
Chloranthaceae,Chloranthaceae,,,センリョウ科,-,"12,29,45,52,97,104,105"
Cleomaceae,Cleomaceae,,,フウチョウソウ科,-,"7,49,88"
Clethraceae,Clethraceae,,,リョウブ科,-,"52,62,69,70"
Clusiaceae,Clusiaceae,,,フクギ科,-,"5,6,13,20,22,23,38,45,47,56,71,89,90,93,95,100,110,118"
Combretaceae,Combretaceae,,,シクンシ科,-,"4,5,6,7,18,23,45,57,61,63,69,70,71,73,78,86,90,104,109,110"
Commelinaceae,Commelinaceae,,,ツユクサ科,-,"5,72,79,81,83,88,91,93,106,118"
Connaraceae,Connaraceae,,,マメモドキ科,-,"2,5,16,22,35,37,49,51,60,64,70,71,73,82,96,108,110,118"
Convolvulaceae,Convolvulaceae,,,ヒルガオ科,-,"5,7,9,13,14,20,38,39,49,51,62,64,70,71,78,79,80,85,90,91,92,93,100,103,105,109,119"
Coriariaceae,Coriariaceae,,,ドクウツギ科,-,"13,17,53,115"
Corsiaceae,Corsiaceae,,,コルシア科,-,"8,88,104"
Corynocarpaceae,Corynocarpaceae,,,コリノカルプス科,-,"14,45,70,71,94"
Costaceae,Costaceae,,,オオホザキアヤメ科,-,"19,86"
Crassulaceae,Crassulaceae,,,ベンケイソウ科,-,"11,52,93,115"
Crypteroniaceae,Crypteroniaceae,,,クリプテロニア科,-,"10,12,13,47,54,55,94,111,116"
Ctenolophonaceae,Ctenolophonaceae,,,クテノロフォン科,-,"24,27,62,63"
Cucurbitaceae,Cucurbitaceae,,,ウリ科,-,"3,4,7,13,25,46,49,52,53,58,68,70,72,75,91,93,97,102,104,105,107,108,110,116"
Cunoniaceae,Cunoniaceae,,,クノニア科,-,"22,23,29,34,35,39,44,45,49,52,59,60,61,62,68,69,70,71,86,89,90,91,101,104,109,114,115,116,117"
Cupressaceae,Cupressaceae,,,ヒノキ科,-,"24,86,114"
Cycadaceae,Cycadaceae,,,ソテツ科,-,"2,7,19,24"
Cyperaceae,Cyperaceae,,,カヤツリグサ科,-,"1,11,25,86,108"
Daphniphyllaceae,Daphniphyllaceae,,,ユズリハ科,-,"35,45,52,67,89,101,108"
Datiscaceae,Datiscaceae,,,ダティスカ科,-,"63,70,71"
Dichapetalaceae,Dichapetalaceae,,,ジカペタラム科,-,"5,58,68,70,73,82,91,105,108,110,112"
Dilleniaceae,Dilleniaceae,,,ビワモドキ科,-,"3,5,16,18,26,30,39,47,52,57,62,63,68,69,75,78,79,89,90,93,95,97,98,115,118,119"
Dipterocarpaceae,Dipterocarpaceae,,,フタバガキ科,-,"10,15,23,24,27,30,33,34,35,38,47,51,56,57,60,61,62,63,64,67,68,69,70,78,90,95,97,104,109,119"
Droseraceae,Droseraceae,,,モウセンゴケ科,-,1
Ebenaceae,Ebenaceae,,,カキノキ科,-,"7,10,16,19,38,58,59,62,66,68,70,71,79,80,82,84,89,90,94,119"
Elaeagnaceae,Elaeagnaceae,,,グミ科,-,"7,62,63"
Elaeocarpaceae,Elaeocarpaceae,,,ホルトノキ科,-,"5,6,10,18,23,31,34,35,43,45,47,52,56,59,60,61,67,68,69,71,91,95,97,98,106,108,111,118,119"
Elatinaceae,Elatinaceae,,,ミゾハコベ科,-,"29,45,89"
Ericaceae,Ericaceae,,,ツツジ科,-,"1,3,8,19,28,45,52,53,60,62,63,70,73,86,89,93,97,98,104,105,106"
Eriocaulaceae,Eriocaulaceae,,,ホシクサ科,-,"1,86,88"
Erythroxylaceae,Erythroxylaceae,,,コカ科,-,"15,30,92,96"
Escalloniaceae,Escalloniaceae,,,エスカロニア科,-,"45,52,58,59,68,70,71,101,104,106,119"
Euphorbiaceae,Euphorbiaceae,,,トウダイグサ科,-,"2,3,4,5,7,10,12,16,18,20,21,22,23,25,29,30,31,33,34,35,43,45,46,47,49,51,52,53,56,57,60,61,62,63,64,66,67,68,80,82,83,72,73,74,75,76,78,79,100,101,102,105,107,108,109,69,110,112,118"
Eupomatiaceae,Eupomatiaceae,,,エウポマチア科,-,"67,104"
Fagaceae,Fagaceae,,,ブナ科,-,"19,23,36,45,52,57,62,63,67,68,89,104,108,119"
Flagellariaceae,Flagellariaceae,,,トウツルモドキ科,-,4
Gentianaceae,Gentianaceae,,,リンドウ科,-,"1,5,6,7,8,10,18,20,23,29,52,53,68,70,74,92"
Geraniaceae,Geraniaceae,,,フウロソウ科,-,"1,52,83"
Gesneriaceae,Gesneriaceae,,,イワタバコ科,-,"5,6,38,39,42,45,46,47,48,51,52,62,64,68,70,73,75,77,79,81,83,85,86,88,90,91,93,97,105,116,117,118"
Gnetaceae,Gnetaceae,,,グネツム科,-,"5,6,12,71,76,79"
Goodeniaceae,Goodeniaceae,,,クサトベラ科,-,"5,6,43,45,52,58,88,93,104,105"
Haemodoraceae,Haemodoraceae,,,ハエモドルム科,-,"88,104"
Haloragaceae,Haloragaceae,,,アリノトウグサ科,-,"45,52,104"
Hamamelidaceae,Hamamelidaceae,,,マンサク科,-,"12,18,30,31,34,35,36,51,52,53,62,63,67,69,86,95,97,99,101,104,111,114"
Hanguanaceae,Hanguanaceae,,,ハングアナ科,-,"100,105"
Heliconiaceae,Heliconiaceae,,,オウムバナ科,-,56
Hernandiaceae,Hernandiaceae,,,ハスノハギリ科,-,"4,5,13,35,49,51,69,71,89,90,99,104,105,109,110"
Himantandraceae,Himantandraceae,,,ヒマンタンドラ科,-,"27,63,71,95"
Hydrangeaceae,Hydrangeaceae,,,アジサイ科,-,"6,62,63,69,86,104,106"
Hydrocharitaceae,Hydrocharitaceae,,,トチカガミ科,-,"45,52,104,110"
Hydroleaceae,Hydroleaceae,,,ヒドロレア科,-,7
Hypericaceae,Hypericaceae,,,オトギリソウ科,-,"7,20,22,27,71,78,92,93,95,111,116"
Hypoxidaceae,Hypoxidaceae,,,キンバイザサ科,-,93
Iridaceae,Iridaceae,,,アヤメ科,-,"88,96,104"
Icacinaceae,Icacinaceae,,,クロタキカズラ科,-,"4,5,6,7,25,38,43,58,62,63,64,65,66,68,71,79,99,100,103,110,114,118,119"
Ixonanthaceae,Ixonanthaceae,,,イクソナンテス科,-,"14,36,110,111,112,116"
Juglandaceae,Juglandaceae,,,クルミ科,-,"37,41,52,63,69,80,104,109"
Juncaginaceae,Juncaginaceae,,,シバナ科,-,115
Lamiaceae,Lamiaceae,,,シソ科,-,"3,4,5,6,7,10,26,29,35,39,44,45,46,47,49,50,52,53,58,62,63,64,65,68,69,70,71,73,75,78,79,86,88,90,93,97,103,105,106,109,110"
Lardizabalaceae,Lardizabalaceae,,,アケビ科,-,5
Lecythidaceae,Lecythidaceae,,,サガリバナ科,-,"2,3,18,19,36,45,46,47,52,61,79,80,95,96,104,107,109,110,119"
Leguminosae,Leguminosae,,,マメ科,-,"2,3,4,5,6,7,10,13,15,16,18,19,22,25,26,29,30,32,33,34,35,37,38,39,40,41,43,44,49,50,53,56,57,58,60,62,64,65,66,67,68,70,71,78,79,80,81,84,86,88,90,93,95,96,97,98,106,108,109,110,113,118,119"
Lentibulariaceae,Lentibulariaceae,,,タヌキモ科,-,"78,88,93"
Lauraceae,Lauraceae,,,クスノキ科,-,"5,9,10,14,18,19,28,43,45,47,53,57,58,60,67,68,69,71,78,79,82,86,89,95,97,99,104,106,110"
Liliaceae,Liliaceae,,,ユリ科,-,112
Linaceae,Linaceae,,,アマ科,-,"4,23,24,31,52,70,82,93,96,109,110,118"
Linderniaceae,Linderniaceae,,,アゼトウガラシ科,-,"52,88"
Loganiaceae,Loganiaceae,,,マチン科,-,"4,5,6,29,45,53,58,104,107"
Lophopyxidaceae,Lophopyxidaceae,,,ロフォピクシス科,-,"4,52,69,109"
